v1,v2,c1,c2,choice,rt
-3,-3,0.1,0.1,0.4018,49.584
-2,-3,0.1,0.1,0.3586,49.3966
-1,-3,0.1,0.1,0.3316,48.824
0,-3,0.1,0.1,0.299,47.2748
1,-3,0.1,0.1,0.2578,45.5392
2,-3,0.1,0.1,0.2292,45.0368
3,-3,0.1,0.1,0.1982,43.546
-3,-2,0.1,0.1,0.4786,49.2838
-2,-2,0.1,0.1,0.4522,50.5564
-1,-2,0.1,0.1,0.3964,50.2068
0,-2,0.1,0.1,0.3652,48.3604
1,-2,0.1,0.1,0.3126,49.1944
2,-2,0.1,0.1,0.272,47.816
3,-2,0.1,0.1,0.2478,47.2626
-3,-1,0.1,0.1,0.5562,50.6922
-2,-1,0.1,0.1,0.4984,50.4534
-1,-1,0.1,0.1,0.4646,50.1526
0,-1,0.1,0.1,0.4284,50.7946
1,-1,0.1,0.1,0.3832,50.4904
2,-1,0.1,0.1,0.3542,48.6462
3,-1,0.1,0.1,0.2972,47.921
-3,0,0.1,0.1,0.6306,49.8376
-2,0,0.1,0.1,0.5782,49.7576
-1,0,0.1,0.1,0.5408,50.524
0,0,0.1,0.1,0.5048,51.5978
1,0,0.1,0.1,0.4644,50.8808
2,0,0.1,0.1,0.4246,50.5316
3,0,0.1,0.1,0.378,49.6852
-3,1,0.1,0.1,0.6978,49.0176
-2,1,0.1,0.1,0.6598,50.5546
-1,1,0.1,0.1,0.6162,49.8222
0,1,0.1,0.1,0.5814,51.0342
1,1,0.1,0.1,0.5308,50.3572
2,1,0.1,0.1,0.486,49.981
3,1,0.1,0.1,0.4434,50.2238
-3,2,0.1,0.1,0.7476,47.1378
-2,2,0.1,0.1,0.7302,47.3036
-1,2,0.1,0.1,0.6774,49.2408
0,2,0.1,0.1,0.642,49.4094
1,2,0.1,0.1,0.6112,49.3594
2,2,0.1,0.1,0.5672,50.9898
3,2,0.1,0.1,0.5176,49.961
-3,3,0.1,0.1,0.8072,44.7836
-2,3,0.1,0.1,0.7784,46.4326
-1,3,0.1,0.1,0.745,46.038
0,3,0.1,0.1,0.7042,47.2944
1,3,0.1,0.1,0.674,48.7332
2,3,0.1,0.1,0.6338,50.1066
3,3,0.1,0.1,0.5804,49.2558
-3,-3,0.4,0.1,0.6862,85.7146
-2,-3,0.4,0.1,0.5452,94.9216
-1,-3,0.4,0.1,0.4212,92.8844
0,-3,0.4,0.1,0.2944,88.4814
1,-3,0.4,0.1,0.1784,80.3264
2,-3,0.4,0.1,0.1092,72.616
3,-3,0.4,0.1,0.0582,61.8074
-3,-2,0.4,0.1,0.7628,82.32
-2,-2,0.4,0.1,0.6296,91.5522
-1,-2,0.4,0.1,0.4944,95.1582
0,-2,0.4,0.1,0.3504,92.213
1,-2,0.4,0.1,0.2308,86.9228
2,-2,0.4,0.1,0.1396,75.9886
3,-2,0.4,0.1,0.0868,66.5342
-3,-1,0.4,0.1,0.8232,78.75
-2,-1,0.4,0.1,0.6984,89.911
-1,-1,0.4,0.1,0.5676,93.4224
0,-1,0.4,0.1,0.4276,97.3112
1,-1,0.4,0.1,0.303,89.0402
2,-1,0.4,0.1,0.1904,82.721
3,-1,0.4,0.1,0.1004,71.3916
-3,0,0.4,0.1,0.8612,75.7698
-2,0,0.4,0.1,0.769,85.3384
-1,0,0.4,0.1,0.6522,92.9496
0,0,0.4,0.1,0.5026,96.7784
1,0,0.4,0.1,0.3608,94.8926
2,0,0.4,0.1,0.2434,83.7394
3,0,0.4,0.1,0.1448,76.0498
-3,1,0.4,0.1,0.9038,70.7028
-2,1,0.4,0.1,0.829,81.1512
-1,1,0.4,0.1,0.7316,90.721
0,1,0.4,0.1,0.6022,94.5814
1,1,0.4,0.1,0.441,93.551
2,1,0.4,0.1,0.3052,88.81
3,1,0.4,0.1,0.1926,81.6218
-3,2,0.4,0.1,0.9272,66.2076
-2,2,0.4,0.1,0.869,75.1164
-1,2,0.4,0.1,0.7702,84.5554
0,2,0.4,0.1,0.6672,91.6734
1,2,0.4,0.1,0.521,95.5302
2,2,0.4,0.1,0.3844,90.2456
3,2,0.4,0.1,0.2512,87.2748
-3,3,0.4,0.1,0.9448,60.9684
-2,3,0.4,0.1,0.9024,70.111
-1,3,0.4,0.1,0.8308,80.0194
0,3,0.4,0.1,0.7346,88.0172
1,3,0.4,0.1,0.6008,94.6846
2,3,0.4,0.1,0.4732,95.4886
3,3,0.4,0.1,0.3364,90.1784
-3,-3,0.7,0.1,0.8438,83.8222
-2,-3,0.7,0.1,0.6834,101.234
-1,-3,0.7,0.1,0.4828,106.008
0,-3,0.7,0.1,0.2912,102.206
1,-3,0.7,0.1,0.155,89.7304
2,-3,0.7,0.1,0.067,73.021
3,-3,0.7,0.1,0.028,58.8242
-3,-2,0.7,0.1,0.8874,81.6696
-2,-2,0.7,0.1,0.7592,96.2152
-1,-2,0.7,0.1,0.5666,107.4682
0,-2,0.7,0.1,0.3582,104.948
1,-2,0.7,0.1,0.186,94.1212
2,-2,0.7,0.1,0.083,78.7052
3,-2,0.7,0.1,0.0402,63.9258
-3,-1,0.7,0.1,0.9134,72.8568
-2,-1,0.7,0.1,0.8178,88.6418
-1,-1,0.7,0.1,0.6488,104.4082
0,-1,0.7,0.1,0.4198,108.9056
1,-1,0.7,0.1,0.247,101.0106
2,-1,0.7,0.1,0.1124,84.6192
3,-1,0.7,0.1,0.0474,67.4796
-3,0,0.7,0.1,0.9406,68.5272
-2,0,0.7,0.1,0.8564,86.5034
-1,0,0.7,0.1,0.7092,101.937
0,0,0.7,0.1,0.5058,107.2444
1,0,0.7,0.1,0.301,104.0918
2,0,0.7,0.1,0.1594,89.348
3,0,0.7,0.1,0.0602,72.83
-3,1,0.7,0.1,0.9582,63.7988
-2,1,0.7,0.1,0.9018,80.3356
-1,1,0.7,0.1,0.781,95.5652
0,1,0.7,0.1,0.5872,107.5238
1,1,0.7,0.1,0.3732,108.881
2,1,0.7,0.1,0.1962,94.616
3,1,0.7,0.1,0.0854,78.1296
-3,2,0.7,0.1,0.972,60.2164
-2,2,0.7,0.1,0.9218,75.5762
-1,2,0.7,0.1,0.824,94.014
